name,research summary
Janine Mauzeroll," Our research group studies electron transfer reactions using classical electrochemical methods and scanning-probe electrochemical microscopy . We help various industrial partners such as Hydro Quebec to predict the corrosion behaviour of their materials and work on methods for corrosion inhibition . A second active area in our group is the development of chemical and bio-sensors for amino acids present in the brain such as D-serine . Our projects lie at the interface between biological chemistry, analytical chemistry and materials science ."
Eric McCalla, Our research is focused on the design of new functional materials through a combination of high-throughput synthesis and more traditional solid-state chemistry approaches . Of immediate interest are novel materials for a wide variety of battery technologies including electrodes materials for Li- and Na-ion batteries as well as solid electrolytes for all-solid-batteries . Such research is of highest priority for immediate societal needs including the widespread implementation of electric vehicles and grid storage .
Maureen McKeague," Chemistry: A study of the fundamental principles of atomic structure, radiation and nuclear chemistry, valence theory, coordination chemistry, and the periodic table . Pharmacology and Therapeutics: Fundamental mechanisms by which toxic compounds damage a biological system (organelle, cell, organ, organism, ecosystem). Detection and quantification of toxicity and risk/benefit analysis are considered . Selected agents of current risk to human health or the environment are evaluated in depth ."
Tony Mittermaier, Isothermal Titration Calorimetry measures the heat released or absorbed by chemical and biological processes in real time . Nuclear Magnetic Resonance spectroscopy detects signals from individual nuclei in biomolecules and gives atomic-resolution information on structure and dynamics . Thermal hysteresis pushes biomolecular systems out of equilibrium by rapidly raising and/or lowering the temperature while making spectroscopic measurements. We develop new ways to unravel intricate folding and assembly processes using TH experiments.
Nicolas Moitessier," Computer science: Integrated organic/computational chemistry . Computer science is Integrated Organic/computing chemistry . Computational chemistry is integrated organic and computer science is integrated into organic chemistry . In the U.S. Computer Science: Integrated Organic and Computer Science is Integrated organic and Computational Chemistry . The U.N. program is based in Washington, D.C., Washington and San Francisco, California ."
Audrey Moores," Research Interests: Nanoparticles, Catalysis and Green Chemistry . We focus on sustainable solutions for nanomaterials and biopolymer synthesis as well as catalyzed reactions . Our group has interest in waste biomass valorization, earth abundant starting materials and high atom economy . We are particularly interested in using mechanochemical and solid-state reactions for the design of nanommaterials ."
Dima Perepichka," Chemistry: The correlation of theory with physical measurements on organic systems . Introduction to photochemistry; solvent and substituent effects on organic reaction rates . Solids and substitutions on organic reactions: Solids, solids, substitutions, reactions, etc.; reaction mechanisms . Chemistry: Theory of theory, physical measurements, photochemistry, and reaction mechanisms. Introduction of photochemistry and photochemistry ."
Thomas C Preston," The fundamentals of the chemical composition of the atmosphere and its chemical reactions will be examined . Spectroscopic methods of analysis will be studied with respect to fundamentals, operational aspects and instrument design . Topics will range from UV-visible to x-ray spectrometry . Methodologies will be evaluated with . respect to their application in spectrometric systems . Laboratory automation will be . studied and applied in the laboratory ."
Linda Reven," This topic merges two areas of expertise of my group, polymer functionalized NPs and NP-liquid crystal dispersions . The main goal is develop suitable polymer ligands to replace custom-synthesized mesogenic ligands typically used to form stable NP-LC dispersions, combining the advantages of polymer and NP additives to LCs . A third topic focuses on the effect of the surface chemistry on the properties of inorganic NPs ."
Lena Simine," Chemistry: Molecular basis of thermodynamics with applications to ideal gases and simple solids . Topics to be covered will include calculation of thermodynamic functions, chemical equilibrium constants, Einstein and Debye models of solids, absolute reaction rate theory, Debye-Hückel theory of strong electrolytes . Chemistry: Intermediate topics in statistical mechanics, including:  modern and classical theories of real gases and liquids, critical phenomena and the renormalization group ."
Bradley J. Siwick," Research in my laboratory is focused on developing technologies that will allow complex transient structures of molecular and material systems to be determined at the atomic level . The experimental challenge associated with such measurements has often been referred to as the making of a ""molecular movie"" An additional area of research will be structural studies of extreme states of matter (i.e. materials under the conditions existing at the core of planets, or plasmas). Extreme conditions can be prepared transiently through interaction with intense laser pulses ."
Hanadi Sleiman," DNA is known to us as the molecule of life, the blueprint that defines who we are . Our group aims to take DNA out of its biological context, and to use this molecule to build two- and three-dimensional structures . These DNA materials feature precise positioning of their components on the nanometer scale, and they can act as molecular machines that respond to specific external stimuli . For example, we have constructed DNA cages that encapsulate drug cargo and then release it rapidly and completely when a cancer-specific molecule is present ."
Christopher J. Thibodeaux," Our research applies a diverse set of experimental tools spanning the realms of biochemistry, analytical chemistry, biophysics, molecular biology, and bioinformatics . Our research employs a range of methodologies that provide trainees with a diverse experimental tool kit for careers in academia, private industry, or medicine . Many of our projects focus on enzymes that make antimicrobial compounds, that contribute to bacterial virulence/pathogenesis, or that have biomedically-relevant functions ."
Youla Tsantrizos," The main focus of our research is the design and synthesis of phosphorus-containing heterocyclic compounds, including compounds with a chiral phosphorus center . Phosphorus-containing compounds constitute an important class of human therapeutics . Such compounds are valuable molecular tools in chemical biology and important ligands in enantioselective organic synthesis . We use biologically active ligands to interrogate various biochemical pathways involved in cancer and neurodegeneration ."
Theo van de Ven," Chemistry: Introduction to chemical kinetics, surface and colloid chemistry and electrochemistry . The topics to be discussed will be of particular interest to students in chemical engineering . Electrical double layer theory, van der Waals forces, Brownian motion; Brownian Motion; kinetics of coagulation; electrokinetics; light scattering; solid/liquid interactions; adsorption; surfactants; hydrodynamic interactions; rheology of dispersions ."
Paul Wiseman, Cellular adhesion and migration play fundamental roles in the normal development of tissue architecture in organisms . Adhesion is mediated by macromolecular complexes that are composed of clusters of plasma membrane receptors called integrins . Integrins also link to the polymeric cytoskeleton network within the cytoplasm of the cells via intermediary proteins . The emerging theme within the cell is that intermolecular interactions play essential roles in biochemical mechanisms .
